Centro,Direccion,Municipio,CP,Provincio,Familia,Modalidad,Especialidad
INSTITUTO SUPERIOR DE FORMACIÓN PROFESIONAL SAN AN TONIO,CAMPUS DE LOS JERÓNIMOS S/N GUADALUPE,GUADALUPE DE MACIASCOQUE,30107,MURCIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
ESCUELA DE TURISMO DE MURCIA,PASEO DEL MALECÓN, 5,MURCIA,30004,MURCIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
INGEFORMA,Avda. Miguel Espinosa nº 8,CARAVACA DE LA CRUZ,30400,MURCIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
MARÍA ANA SANZ,C/ MILAGRO, 1,PAMPLONA/IRUÑA,31015,NAVARRA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
A Carballeira-Marcos Valcárcel,RU/A Carballeira s/n,OURENSE,32002,OURENSE,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
"I.E.S. ""Doctor Fleming""",Doctor Fleming, 7,OVIEDO,33005,ASTURIAS,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
"I.E.S. ""Monte Naranco""",Pedro Caravia, 9,OVIEDO,33012,ASTURIAS,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
Centro Integrado de F.P. de los Sectores Industrial y de Servicios,Luis Moya, Nº 335,CIMADEVILLA,33203,ASTURIAS,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
Centro Integrado de F.P. de Avilés,Marqués s/n,AVILES,33402,ASTURIAS,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
"C.F.P.E ""Campus FP Gijón, Social Media""",Santa Teresa de Jesús, nº 3- Bajo,GIJON,33208,ASTURIAS,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
"C.F.P.E ""Afa Formación",General Elorza, 68 - Bajo,OVIEDO,33001,ASTURIAS,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
CENTRO INTERNACIONAL POLITÉCNICO,C/ MIGUEL DE CERVANTES, 2. EDIF. BITÁCORA,PALMAS DE GRAN CANARIA (LAS),35002,LAS PALMAS,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
EL RINCÓN,AVDA.DEL INDUST. JOSÉ SÁNCHEZ PEÑATE, S/N,PALMAS DE GRAN CANARIA (LAS),35010,LAS PALMAS,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
MICROSISTEMAS,C/ LA INÉS, 35,ARRECIFE,35500,LAS PALMAS,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
HOTEL ESCUELA SANTA BRÍGIDA,C/ REAL DE COELLO, 2,SANTA BRIGIDA,35310,LAS PALMAS,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
VILLA DE AGÜIMES,C/ ALCORAC, 50.,POLIGONO DE ARINAGA,35118,LAS PALMAS,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
MAJADA MARCIAL,C/ LOS CAMELLEROS, 162.,PUERTO DEL ROSARIO,35600,LAS PALMAS,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
ZONZAMAS,C/ BARRAQUER, 6,ARRECIFE,35500,LAS PALMAS,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
Ramón Mª Aller Ulloa,RU/DO PARQUE 8,LALIN,36500,PONTEVEDRA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
San Narciso,LG/CHAN DO MONTE 27,CHAN DO MONTE,36900,PONTEVEDRA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
Montecastelo,RU/Dr.Paz Pardo 84,VIGO,36214,PONTEVEDRA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
Daniel Castelao,RU/Garcia Barbón 50 Baixo,VIGO,36201,PONTEVEDRA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
Chan do Monte,RU/Chan do Monte 23,CHAN DO MONTE,36911,PONTEVEDRA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
de Teis,AV/de Galicia 101,VIGO,36216,PONTEVEDRA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
de Rodeira,AV/Ourense s/n,CANGAS,36940,PONTEVEDRA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
Cemar,EDA/Ponteareas - Mondariz,MONDARIZ-BALNEARIO,36890,PONTEVEDRA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
PUERTO DE LA CRUZ: TELESFORO BRAVO,C/ LAS CABEZAS, 7,PUERTO DE LA CRUZ,38400,SANTA CRUZ DE TENERIFE,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
LAS GALLETAS,C/ BERENICE, 3. URB. LA ESTRELLA,GALLETAS (LAS),38631,SANTA CRUZ DE TENERIFE,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
HOTEL ESCUELA SANTA CRUZ,C/ SAN SEBASTIÁN, 152,SANTA CRUZ DE TENERIFE,38005,SANTA CRUZ DE TENERIFE,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
CENTRO INTERNACIONAL POLITÉCNICO,C/ SEMINARIO NUEVO, S/N -1ª PLANTA,SAN CRISTOBAL DE LA LAGUNA,38207,SANTA CRUZ DE TENERIFE,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
CÉSAR MANRIQUE,AV. PRINCIPES DE ESPAÑA, 5.,SANTA CRUZ DE TENERIFE,38010,SANTA CRUZ DE TENERIFE,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
ATAULFO ARGENTA,MENENDEZ PELAYO, 4,CASTRO URDIALES,39700,CANTABRIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
AUGUSTO GONZALEZ DE LINARES,C/ PRIMERO DE MAYO, 1,SANTANDER,39011,CANTABRIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
MIGUEL HERRERO PEREDA,PSO. DE JULIO HAUZEUR, 59,TORRELAVEGA,39300,CANTABRIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
Instituto Técnico Superior de Informática Studium II,Sol, 20,SEVILLA,41003,SEVILLA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
Luis Vélez de Guevara,Tomás Beviá, 1,ECIJA,41400,SEVILLA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
San José Sagrados Corazones,Juan Ramón Jiménez, 22,SEVILLA,41011,SEVILLA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
Altair,Barbero de Sevilla, 1,SEVILLA,41006,SEVILLA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
ADA,Fernando Corral Corrachán s/n,SEVILLA,41007,SEVILLA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
Velázquez,Francisco Carrión Mejías, 10,SEVILLA,41003,SEVILLA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
Ruiz Gijón,de Consolación, 1,UTRERA,41710,SEVILLA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
Polígono Sur,Esclava del Señor, 2,SEVILLA,41013,SEVILLA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
Camas,Autovía Sevilla-Gijón, 3,CAMAS,41900,SEVILLA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
Alixar,de la Unidad, s/n,CASTILLEJA DE LA CUESTA,41950,SEVILLA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
Julio Verne,Estrella Proción, s/n,SEVILLA,41015,SEVILLA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
Hermanos Machado,Vía Flaminia, s/n,DOS HERMANAS,41089,SEVILLA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
Jacarandá,Diamantino García, s/n,BRENES,41310,SEVILLA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
CEU-Aljarafe,Ángel Herrera Oria, s/n. Campus Universitario,BORMUJOS,41930,SEVILLA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
Sotero Hernández,Santo Domingo de Guzmán, s/n,SAN JUAN DE AZNALFARACHE,41920,SEVILLA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
Nuevas Profesiones I,Isabela, 1,SEVILLA,41013,SEVILLA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
Baix Camp,c. Jacint Barrau, 1,REUS,43201,TARRAGONA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
Francesc Vidal i Barraquer,av. Lluís Companys, 1,TARRAGONA,43005,TARRAGONA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
Montsià,c. Madrid, 35-49,AMPOSTA,43870,TARRAGONA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
Camí de Mar,c. Jaume Pallarès, s/n,CALAFELL,43820,TARRAGONA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
BAJO ARAGÓN,CL. JOSÉ PARDO SASTRÓN, 1,ALCAÑIZ,44600,TERUEL,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
UNITEL SISTEMAS DE COMUNICACIONES DE CLM UNITEL S.L.,CL. RÍO MARCHÉS, 53,TOLEDO,00000,TOLEDO,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
XÚQUER CENTRE EDUCATIU,CL PROFESSOR BERNAT MONTAGUD 3,ALZIRA,46600,VALENCIA/VALÈNCIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
SANT VICENT FERRER,CL PARQUE SALVADOR CASTELL 16,ALGEMESI,46680,VALENCIA/VALÈNCIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
SOLVAM,CL CERVANTES 3,QUART DE POBLET,46930,VALENCIA/VALÈNCIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
MARÍA ENRÍQUEZ,CL LITERATO AZORÍN 1,GANDIA,46702,VALENCIA/VALÈNCIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
JOSÉ RODRIGO BOTET,CL SANTOS JUSTO Y PASTOR 70,MANISES,46940,VALENCIA/VALÈNCIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
L'ESTACIÓ,AV ESTACIÓN S/N,ONTINYENT,46870,VALENCIA/VALÈNCIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
CAMP DE MORVEDRE,CL ABOGADO FAUSTO CARUANA S/N,PUERTO (EL),46520,VALENCIA/VALÈNCIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
JUAN DE GARAY,CL JUAN DE GARAY 25,VALENCIA,46017,VALENCIA/VALÈNCIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
FONT DE SANT LLUÍS,AV HERMANOS MARISTAS 25,VALENCIA,46013,VALENCIA/VALÈNCIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
FLORIDA, CENTRE E.SECUNDARI-TÈCNIC PROF.,CL REI EN JAUME I 2,CATARROJA,46470,VALENCIA/VALÈNCIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
LA SÈNIA,CL ESCULTOR JOSÉ CAPUZ 96,PAIPORTA,46200,VALENCIA/VALÈNCIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
MISLATA,CL DOLORES IBARRURI 32,MISLATA,46920,VALENCIA/VALÈNCIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
AUSIÀS MARCH,CL ÁNGEL DE VILLENA S/N,VALENCIA,46013,VALENCIA/VALÈNCIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
CONSELLERIA,CL MONESTIR DE POBLET S/N,VALENCIA,46015,VALENCIA/VALÈNCIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
LA VEREDA,CL VEREDA MAS DE TOUS 3,POBLA DE VALLBONA (LA),46185,VALENCIA/VALÈNCIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
ABASTOS,CL ALBERIQUE 18,VALENCIA,46008,VALENCIA/VALÈNCIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
CAMPUS CENTRE D'ESTUDIS,PS DEL RAJOLAR S/N,BURJASSOT,46100,VALENCIA/VALÈNCIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
CEED,CL CASA DE LA MISERICORDIA 34,VALENCIA,46014,VALENCIA/VALÈNCIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
STUDIO,CL ALBALAT DELS TARONGERS 32,VALENCIA,46021,VALENCIA/VALÈNCIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
THINK,CL BOTÀNIC CAVANILLES 43,ALBORAYA,46120,VALENCIA/VALÈNCIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
CENTRO PROFESIONAL EUROPEO DE VALENCIA,AV ARAGÓ (EDIFICI EUROPA) 30,VALENCIA,46021,VALENCIA/VALÈNCIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
LYCEUM,C/ PLOMO, Nº 3,VALLADOLID,47012,VALLADOLID,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
SAN LUIS,Licenciado Poza 31,BILBAO,48011,BIZKAIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
MIKELDI,Autonomía, 60-62,BILBAO,48012,BIZKAIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
IBAIONDO,Venancio Echevarria 18,ARENAS (LAS)/AREETA,48930,BIZKAIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
GAZTELUETA,Artatza 87,ARTATZA,48940,BIZKAIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
LEA-ARTIBAI,Xemein  19,MARKINA-XEMEIN,48270,BIZKAIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
ZABALBURU,Esperanza 12,BILBAO,48005,BIZKAIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
CEINMARK,Iturribide, 20-22,BILBAO,48006,BIZKAIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
ELORRIETA-ERREKA MARI,Lehendakari Aguirre 184,BILBAO,48015,BIZKAIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
ZORNOTZA,Urritxe 13,AMOREBIETA,48340,BIZKAIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
TXURDINAGA,Artalandio 3,BILBAO,48004,BIZKAIA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
COLEGIO MONTESSORI,CL. LAGASCA, 25-27,ZARAGOZA,50006,ZARAGOZA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
LOS ENLACES,CL. JARQUE DE MONCAYO, 10,ZARAGOZA,50012,ZARAGOZA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
LEOPOLDO QUEIPO,PZA.DE PRIMERO DE MAYO 2,MELILLA,52003,MELILLA,INFORMÁTICA Y COMUNICACIONES,Diurno,Desarrollo de Aplicaciones Web
LOS BOSCOS,MUGICA, 9,LOGROÑO,26002,LA RIOJA,INFORMÁTICA Y COMUNICACIONES,Dual,Administración de Sistemas Informáticos en Red
GSD  BUITRAGO,AVDA de Madrid 18,BUITRAGO DEL LOZOYA,28730,MADRID,INFORMÁTICA Y COMUNICACIONES,Dual,Administración de Sistemas Informáticos en Red
PADRE PIQUER,CALLE del Cañaveral 96,MADRID,28029,MADRID,INFORMÁTICA Y COMUNICACIONES,Dual,Administración de Sistemas Informáticos en Red
JOSE RAMON OTERO,CALLE de Francisco Brizuela 1,MADRID,28011,MADRID,INFORMÁTICA Y COMUNICACIONES,Dual,Administración de Sistemas Informáticos en Red
CLARA DEL REY,CALLE del Padre Claret 8,MADRID,28002,MADRID,INFORMÁTICA Y COMUNICACIONES,Dual,Administración de Sistemas Informáticos en Red
SANTO DOMINGO SAVIO,CALLE de Santo Domingo Savio 2,MADRID,28017,MADRID,INFORMÁTICA Y COMUNICACIONES,Dual,Desarrollo de Aplicaciones Multiplataforma
CLARA DEL REY,CALLE del Padre Claret 8,MADRID,28002,MADRID,INFORMÁTICA Y COMUNICACIONES,Dual,Desarrollo de Aplicaciones Multiplataforma
U-TAD CENTRO PROFESIONAL DE TECNOLOGIA Y ARTE DIGITAL,CALLE Playa de Liencres,complejo Europa Empresarial 2DUPL,ROZAS DE MADRID (LAS),28290,MADRID,INFORMÁTICA Y COMUNICACIONES,Dual,Desarrollo de Aplicaciones Multiplataforma
SAGRADO CORAZON,HUESCA,39 Y DUQUES DE NAJERA,19(FP),LOGROÑO,26005,LA RIOJA,INFORMÁTICA Y COMUNICACIONES,Dual,Desarrollo de Aplicaciones Web
GSD  BUITRAGO,AVDA de Madrid 18,BUITRAGO DEL LOZOYA,28730,MADRID,INFORMÁTICA Y COMUNICACIONES,Dual,Desarrollo de Aplicaciones Web
JOSE RAMON OTERO,CALLE de Francisco Brizuela 1,MADRID,28011,MADRID,INFORMÁTICA Y COMUNICACIONES,Dual,Desarrollo de Aplicaciones Web
CLARA DEL REY,CALLE del Padre Claret 8,MADRID,28002,MADRID,INFORMÁTICA Y COMUNICACIONES,Dual,Desarrollo de Aplicaciones Web
MARÍA ANA SANZ,C/ MILAGRO, 1,PAMPLONA/IRUÑA,31015,NAVARRA,INFORMÁTICA Y COMUNICACIONES,En línea,Administración de Sistemas Informáticos en Red
DECROLY,PROF. JIMENEZ DIAZ, 5 Y Pº GENERAL DÁVILA, 200,SANTANDER,39007,CANTABRIA,INFORMÁTICA Y COMUNICACIONES,En línea,Administración de Sistemas Informáticos en Red
,C/ SAN POL, 8,ESTELLA/LIZARRA,31200,NAVARRA,INFORMÁTICA Y COMUNICACIONES,En línea,Desarrollo de Aplicaciones Multiplataforma
,C/ SAN POL, 8,ESTELLA/LIZARRA,31200,NAVARRA,INFORMÁTICA Y COMUNICACIONES,En línea,Desarrollo de Aplicaciones Web
Al-Ándalus,de la Caridad, 125. Finca Santa Isabel,ALMERIA,04008,ALMERÍA,INFORMÁTICA Y COMUNICACIONES,Nocturno,Administración de Sistemas Informáticos en Red
JOAN COROMINES,PS MARÍTIM 5,BENICARLO,12580,CASTELLÓN/CASTELLÓ,INFORMÁTICA Y COMUNICACIONES,Nocturno,Administración de Sistemas Informáticos en Red
JUAN BOSCO,AV. DE LOS INSTITUTOS,  S/N,ALCAZAR DE SAN JUAN,13600,CIUDAD REAL,INFORMÁTICA Y COMUNICACIONES,Nocturno,Administración de Sistemas Informáticos en Red
EFA LA SERNA,CR. DE ALMAGRO, 150,BOLAÑOS DE CALATRAVA,13260,CIUDAD REAL,INFORMÁTICA Y COMUNICACIONES,Nocturno,Administración de Sistemas Informáticos en Red
Fernando Wirtz Suárez,RU/Cabaleiros 1,CORUÑA (A),15006,A CORUÑA,INFORMÁTICA Y COMUNICACIONES,Nocturno,Administración de Sistemas Informáticos en Red
Rodolfo Ucha Piñeiro,AV/Castelao, 64 (Caranza),FERROL,15406,A CORUÑA,INFORMÁTICA Y COMUNICACIONES,Nocturno,Administración de Sistemas Informáticos en Red
San Clemente,RU/San Clemente s/n,SANTIAGO DE COMPOSTELA,15705,A CORUÑA,INFORMÁTICA Y COMUNICACIONES,Nocturno,Administración de Sistemas Informáticos en Red
PEDRO MERCEDES,CL. CAÑETE, S/N,CUENCA,16004,CUENCA,INFORMÁTICA Y COMUNICACIONES,Nocturno,Administración de Sistemas Informáticos en Red
Zaidín-Vergeles,Primavera, 26-28,GRANADA,18008,GRANADA,INFORMÁTICA Y COMUNICACIONES,Nocturno,Administración de Sistemas Informáticos en Red
BRIANDA DE MENDOZA,CL. HERMANOS FERNANDEZ GALIANO, 6,GUADALAJARA,19004,GUADALAJARA,INFORMÁTICA Y COMUNICACIONES,Nocturno,Administración de Sistemas Informáticos en Red
CEBANC,Berio  50,DONOSTIA/SAN SEBASTIÁN,20018,GIPUZKOA,INFORMÁTICA Y COMUNICACIONES,Nocturno,Administración de Sistemas Informáticos en Red
Muralla Romana,RU/Angelo Colocci, s/n,LUGO,27003,LUGO,INFORMÁTICA Y COMUNICACIONES,Nocturno,Administración de Sistemas Informáticos en Red
Cesur,Tomás Heredia, 12,MALAGA,29001,MÁLAGA,INFORMÁTICA Y COMUNICACIONES,Nocturno,Administración de Sistemas Informáticos en Red
Fuengirola Nº 1,Camino de Santiago, 3,FUENGIROLA,29640,MÁLAGA,INFORMÁTICA Y COMUNICACIONES,Nocturno,Administración de Sistemas Informáticos en Red
Politécnico Jesús Marín,Politécnico, 1,MALAGA,29007,MÁLAGA,INFORMÁTICA Y COMUNICACIONES,Nocturno,Administración de Sistemas Informáticos en Red
A Carballeira-Marcos Valcárcel,RU/A Carballeira s/n,OURENSE,32002,OURENSE,INFORMÁTICA Y COMUNICACIONES,Nocturno,Administración de Sistemas Informáticos en Red
de Teis,AV/de Galicia 101,VIGO,36216,PONTEVEDRA,INFORMÁTICA Y COMUNICACIONES,Nocturno,Administración de Sistemas Informáticos en Red
Punta del Verde,Barrionuevo, 4,SEVILLA,41012,SEVILLA,INFORMÁTICA Y COMUNICACIONES,Nocturno,Administración de Sistemas Informáticos en Red
VIRGEN DE LA CARIDAD,AV. DEL RECINTO FERIAL, S/N,ILLESCAS,45200,TOLEDO,INFORMÁTICA Y COMUNICACIONES,Nocturno,Administración de Sistemas Informáticos en Red
AZARQUIEL,PS. SAN EUGENIO, 21,TOLEDO,45003,TOLEDO,INFORMÁTICA Y COMUNICACIONES,Nocturno,Administración de Sistemas Informáticos en Red
JULIO VERNE,CL. INSTITUTO, S/N,BARGAS,45593,TOLEDO,INFORMÁTICA Y COMUNICACIONES,Nocturno,Administración de Sistemas Informáticos en Red
ACADEMIA MARCO,CL. CONDE DE ARANDA, 7-9,ZARAGOZA,50004,ZARAGOZA,INFORMÁTICA Y COMUNICACIONES,Nocturno,Administración de Sistemas Informáticos en Red
LEONARDO DA VINCI,CL. LA PAZ, S/N,ALBACETE,02006,ALBACETE,INFORMÁTICA Y COMUNICACIONES,Nocturno,Desarrollo de Aplicaciones Multiplataforma
Al-Ándalus,de la Caridad, 125. Finca Santa Isabel,ALMERIA,04008,ALMERÍA,INFORMÁTICA Y COMUNICACIONES,Nocturno,Desarrollo de Aplicaciones Multiplataforma
LUIS VIVES,SANT JOAN DE LA SALLE, 5,PALMA,07003,ILLES BALEARS,INFORMÁTICA Y COMUNICACIONES,Nocturno,Desarrollo de Aplicaciones Multiplataforma
GREGORIO PRIETO,AV. DE LOS ESTUDIANTES, S/N,VALDEPEÑAS,13300,CIUDAD REAL,INFORMÁTICA Y COMUNICACIONES,Nocturno,Desarrollo de Aplicaciones Multiplataforma
JUAN D'OPAZO,CL. CALATRAVA, 7,DAIMIEL,13250,CIUDAD REAL,INFORMÁTICA Y COMUNICACIONES,Nocturno,Desarrollo de Aplicaciones Multiplataforma
Trassierra,San Hermenegildo, s/n,CORDOBA,14011,CÓRDOBA,INFORMÁTICA Y COMUNICACIONES,Nocturno,Desarrollo de Aplicaciones Multiplataforma
San Clemente,RU/San Clemente s/n,SANTIAGO DE COMPOSTELA,15705,A CORUÑA,INFORMÁTICA Y COMUNICACIONES,Nocturno,Desarrollo de Aplicaciones Multiplataforma
Amor de Dios,Fray Juan Sánchez Cotán , 40,GRANADA,18011,GRANADA,INFORMÁTICA Y COMUNICACIONES,Nocturno,Desarrollo de Aplicaciones Multiplataforma
Montecastelo,RU/Dr.Paz Pardo 84,VIGO,36214,PONTEVEDRA,INFORMÁTICA Y COMUNICACIONES,Nocturno,Desarrollo de Aplicaciones Multiplataforma
RIBERA DEL TAJO,CL. TEMPLARIOS, 39,TALAVERA DE LA REINA,45600,TOLEDO,INFORMÁTICA Y COMUNICACIONES,Nocturno,Desarrollo de Aplicaciones Multiplataforma
JULIO VERNE,CL. INSTITUTO, S/N,BARGAS,45593,TOLEDO,INFORMÁTICA Y COMUNICACIONES,Nocturno,Desarrollo de Aplicaciones Multiplataforma
LAS SALINAS,CL. CAMINO DE SESEÑA NUEVO, S/N,SESEÑA NUEVO,45223,TOLEDO,INFORMÁTICA Y COMUNICACIONES,Nocturno,Desarrollo de Aplicaciones Multiplataforma
Al-Ándalus,de la Caridad, 125. Finca Santa Isabel,ALMERIA,04008,ALMERÍA,INFORMÁTICA Y COMUNICACIONES,Nocturno,Desarrollo de Aplicaciones Web
La Puebla,Platón, 5,PUEBLA DE VICAR,04738,ALMERÍA,INFORMÁTICA Y COMUNICACIONES,Nocturno,Desarrollo de Aplicaciones Web
MAESTRE DE CALATRAVA,PS. DE LA UNIVERSIDAD, 1,CIUDAD REAL,13005,CIUDAD REAL,INFORMÁTICA Y COMUNICACIONES,Nocturno,Desarrollo de Aplicaciones Web
EFA MORATALAZ,AV. ANDALUCIA, S/N,MANZANARES,13200,CIUDAD REAL,INFORMÁTICA Y COMUNICACIONES,Nocturno,Desarrollo de Aplicaciones Web
Trassierra,San Hermenegildo, s/n,CORDOBA,14011,CÓRDOBA,INFORMÁTICA Y COMUNICACIONES,Nocturno,Desarrollo de Aplicaciones Web
Fernando Wirtz Suárez,RU/Cabaleiros 1,CORUÑA (A),15006,A CORUÑA,INFORMÁTICA Y COMUNICACIONES,Nocturno,Desarrollo de Aplicaciones Web
Rodolfo Ucha Piñeiro,AV/Castelao, 64 (Caranza),FERROL,15406,A CORUÑA,INFORMÁTICA Y COMUNICACIONES,Nocturno,Desarrollo de Aplicaciones Web
San Clemente,RU/San Clemente s/n,SANTIAGO DE COMPOSTELA,15705,A CORUÑA,INFORMÁTICA Y COMUNICACIONES,Nocturno,Desarrollo de Aplicaciones Web
